Parent Path,Name,Href,OtherTOC,URL
,Embeddings,../ai-services/openai/tutorials/embeddings.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/openai/tutorials/embeddings?context=/azure/ai-foundry/context/context
,Evaluation,../ai-services/openai/how-to/evaluations.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/openai/how-to/evaluations?context=/azure/ai-foundry/context/context
,Fine-tune Azure OpenAI models,../ai-services/openai/how-to/fine-tuning.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/openai/how-to/fine-tuning?context=/azure/ai-foundry/context/context
,When to use Azure OpenAI fine-tuning,../ai-services/openai/concepts/fine-tuning-considerations.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/openai/concepts/fine-tuning-considerations?context=/azure/ai-foundry/context/context
,Deploy your Azure OpenAI fine-tuned model,../ai-services/openai/how-to/fine-tuning-deploy.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/openai/how-to/fine-tuning-deploy?context=/azure/ai-foundry/context/context
,Vision fine-tuning,../ai-services/openai/how-to/fine-tuning-vision.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/openai/how-to/fine-tuning-vision?context=/azure/ai-foundry/context/context
,Preference fine-tuning,../ai-services/openai/how-to/fine-tuning-direct-preference-optimization.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/openai/how-to/fine-tuning-direct-preference-optimization?context=/azure/ai-foundry/context/context
,Safety evaluation,../ai-services/openai/how-to/fine-tuning-safety-evaluation.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/openai/how-to/fine-tuning-safety-evaluation?context=/azure/ai-foundry/context/context
,Tool calling,../ai-services/openai/how-to/fine-tuning-functions.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/openai/how-to/fine-tuning-functions?context=/azure/ai-foundry/context/context
,Weights & Biases integration (preview),../ai-services/openai/how-to/weights-and-biases-integration.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/openai/how-to/weights-and-biases-integration?context=/azure/ai-foundry/context/context
,Troubleshooting guidance,../ai-services/openai/how-to/fine-tuning-troubleshoot.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/openai/how-to/fine-tuning-troubleshoot?context=/azure/ai-foundry/context/context
,Deploy models via managed compute,how-to/deploy-models-managed.md,false,https://learn.microsoft.com/azure/ai-foundry/how-to/deploy-models-managed
,Foundational AI models for healthcare,how-to/healthcare-ai/healthcare-ai-models.md,false,https://learn.microsoft.com/azure/ai-foundry/how-to/healthcare-ai/healthcare-ai-models
,MedImageInsight model for embedding,how-to/healthcare-ai/deploy-medimageinsight.md,false,https://learn.microsoft.com/azure/ai-foundry/how-to/healthcare-ai/deploy-medimageinsight
,CXRReportGen model for text generation,how-to/healthcare-ai/deploy-cxrreportgen.md,false,https://learn.microsoft.com/azure/ai-foundry/how-to/healthcare-ai/deploy-cxrreportgen
,MedImageParse models for prompted segmentation,how-to/healthcare-ai/deploy-medimageparse.md,false,https://learn.microsoft.com/azure/ai-foundry/how-to/healthcare-ai/deploy-medimageparse
,Nvidia Inference Microservices (NIM),how-to/deploy-nvidia-inference-microservice.md,false,https://learn.microsoft.com/azure/ai-foundry/how-to/deploy-nvidia-inference-microservice
,Deploy models via standard deployment,how-to/deploy-models-serverless.md,false,https://learn.microsoft.com/azure/ai-foundry/how-to/deploy-models-serverless
,Consume models from a different project or hub,how-to/deploy-models-serverless-connect.md,false,https://learn.microsoft.com/azure/ai-foundry/how-to/deploy-models-serverless-connect
,Model region availability for standard deployment,how-to/deploy-models-serverless-availability.md,false,https://learn.microsoft.com/azure/ai-foundry/how-to/deploy-models-serverless-availability
,Guardrails & controls for standard deployment,concepts/model-catalog-content-safety.md,false,https://learn.microsoft.com/azure/ai-foundry/concepts/model-catalog-content-safety
,Models available for standard deployment,concepts/models-featured.md,false,https://learn.microsoft.com/azure/ai-foundry/concepts/models-featured
,Gretel Navigator model,how-to/deploy-models-gretel-navigator.md,false,https://learn.microsoft.com/azure/ai-foundry/how-to/deploy-models-gretel-navigator
,Mistral-7B and Mixtral models,how-to/deploy-models-mistral-open.md,false,https://learn.microsoft.com/azure/ai-foundry/how-to/deploy-models-mistral-open
,Use Azure AI services in Azure AI Foundry portal,../ai-services/connect-services-ai-foundry-portal.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/connect-services-ai-foundry-portal?context=/azure/ai-foundry/context/context
,What are Azure AI services?,../ai-services/what-are-ai-services.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/what-are-ai-services?context=/azure/ai-foundry/context/context
,What is Azure AI Content Safety service?,../ai-services/content-safety/overview.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/content-safety/overview?context=/azure/ai-foundry/context/context
,Prompt Shields quickstart,../ai-services/content-safety/quickstart-jailbreak.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/content-safety/quickstart-jailbreak?context=/azure/ai-foundry/context/context
,Groundedness detection (preview) quickstart,../ai-services/content-safety/quickstart-groundedness.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/content-safety/quickstart-groundedness?context=/azure/ai-foundry/context/context
,Protected material detection for text quickstart,../ai-services/content-safety/quickstart-protected-material.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/content-safety/quickstart-protected-material?context=/azure/ai-foundry/context/context
,Custom categories (preview) quickstart,../ai-services/content-safety/quickstart-custom-categories.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/content-safety/quickstart-custom-categories?context=/azure/ai-foundry/context/context
,Text moderation quickstart,../ai-services/content-safety/quickstart-text.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/content-safety/quickstart-text?context=/azure/ai-foundry/context/context
,What is Azure AI Content Understanding (preview)?,../ai-services/content-understanding/overview.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/content-understanding/overview?context=/azure/ai-foundry/context/context
,Use Content Understanding in Azure AI Foundry portal,../ai-services/content-understanding/quickstart/use-ai-foundry.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/content-understanding/quickstart/use-ai-foundry?context=/azure/ai-foundry/context/context
,What is Azure AI Document Intelligence?,../ai-services/document-intelligence/overview.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/document-intelligence/overview?context=/azure/ai-foundry/context/context
,What is Azure AI Language?,../ai-services/language-service/overview.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/language-service/overview?context=/azure/ai-foundry/context/context
,Conversation Language Understanding,../ai-services/language-service/conversational-language-understanding/quickstart.md?context=/azure/ai-foundry/context/context&pivots=rest-api,true,https://learn.microsoft.com/ai-services/language-service/conversational-language-understanding/quickstart?context=/azure/ai-foundry/context/context&pivots=rest-api
,Key Phrase Extraction,../ai-services/language-service/key-phrase-extraction/quickstart.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/language-service/key-phrase-extraction/quickstart?context=/azure/ai-foundry/context/context
,Language Detection,../ai-services/language-service/language-detection/quickstart.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/language-service/language-detection/quickstart?context=/azure/ai-foundry/context/context
,Named Entity Recognition,../ai-services/language-service/named-entity-recognition/quickstart.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/language-service/named-entity-recognition/quickstart?context=/azure/ai-foundry/context/context
,Custom Named Entity Recognition,../ai-services/language-service/custom-named-entity-recognition/quickstart.md?context=/azure/ai-foundry/context/context&pivots=rest-api,true,https://learn.microsoft.com/ai-services/language-service/custom-named-entity-recognition/quickstart?context=/azure/ai-foundry/context/context&pivots=rest-api
,Native Document Support,../ai-services/language-service/native-document-support/use-native-documents.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/language-service/native-document-support/use-native-documents?context=/azure/ai-foundry/context/context
,Orchestration Workflow,../ai-services/language-service/orchestration-workflow/quickstart.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/language-service/orchestration-workflow/quickstart?context=/azure/ai-foundry/context/context
,Personally Identifiable Information detection,../ai-services/language-service/personally-identifiable-information/quickstart.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/language-service/personally-identifiable-information/quickstart?context=/azure/ai-foundry/context/context
,Sentiment Analysis,../ai-services/language-service/sentiment-opinion-mining/quickstart.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/language-service/sentiment-opinion-mining/quickstart?context=/azure/ai-foundry/context/context
,Summarization,../ai-services/language-service/summarization/quickstart.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/language-service/summarization/quickstart?context=/azure/ai-foundry/context/context
,Text Analytics for Health,../ai-services/language-service/text-analytics-for-health/quickstart.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/language-service/text-analytics-for-health/quickstart?context=/azure/ai-foundry/context/context
,Text Classification,../ai-services/language-service/custom-text-classification/quickstart.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/language-service/custom-text-classification/quickstart?context=/azure/ai-foundry/context/context
,What is the Speech service?,../ai-services/speech-service/overview.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/speech-service/overview?context=/azure/ai-foundry/context/context
,Real-time speech to text,../ai-services/speech-service/get-started-speech-to-text.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/speech-service/get-started-speech-to-text?context=/azure/ai-foundry/context/context
,Fast transcription,../ai-services/speech-service/fast-transcription-create.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/speech-service/fast-transcription-create?context=/azure/ai-foundry/context/context
,Custom speech fine-tuning,../ai-services/speech-service/how-to-custom-speech-create-project.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/speech-service/how-to-custom-speech-create-project?context=/azure/ai-foundry/context/context
,Custom voice fine-tuning,../ai-services/speech-service/professional-voice-create-project.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/speech-service/professional-voice-create-project?context=/azure/ai-foundry/context/context
,Custom avatar fine-tuning,../ai-services/speech-service/text-to-speech-avatar/custom-avatar-create.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/speech-service/text-to-speech-avatar/custom-avatar-create?context=/azure/ai-foundry/context/context
,Pronunciation assessment,../ai-services/speech-service/pronunciation-assessment-tool.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/speech-service/pronunciation-assessment-tool?context=/azure/ai-foundry/context/context
,Speech translation,../ai-services/speech-service/get-started-speech-translation.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/speech-service/get-started-speech-translation?context=/azure/ai-foundry/context/context
,What is Azure AI Translator?,../ai-services/translator/overview.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/translator/overview?context=/azure/ai-foundry/context/context
,Azure AI Translator language support,../ai-services/translator/language-support.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/translator/language-support?context=/azure/ai-foundry/context/context
,Text translation,../ai-services/translator/text-translation/overview.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/translator/text-translation/overview?context=/azure/ai-foundry/context/context
,Document translation,../ai-services/translator/document-translation/overview.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/translator/document-translation/overview?context=/azure/ai-foundry/context/context
,Custom Translator,../ai-services/translator/custom-translator/overview.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/translator/custom-translator/overview?context=/azure/ai-foundry/context/context
,Prebuilt solutions,../ai-services/translator/solutions/overview.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/translator/solutions/overview?context=/azure/ai-foundry/context/context
,What is Image Analysis?,/azure/ai-services/computer-vision/overview-image-analysis?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/azure/ai-services/computer-vision/overview-image-analysis?context=/azure/ai-foundry/context/context
,Quickstart,/azure/ai-services/computer-vision/quickstarts-sdk/image-analysis-client-library-40?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/azure/ai-services/computer-vision/quickstarts-sdk/image-analysis-client-library-40?context=/azure/ai-foundry/context/context
,Optical Character Recognition concepts,/azure/ai-services/computer-vision/concept-ocr?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/azure/ai-services/computer-vision/concept-ocr?context=/azure/ai-foundry/context/context
,Image captioning concepts,/azure/ai-services/computer-vision/concept-describe-images-40?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/azure/ai-services/computer-vision/concept-describe-images-40?context=/azure/ai-foundry/context/context
,What is Azure AI Face service?,/azure/ai-services/computer-vision/overview-identity?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/azure/ai-services/computer-vision/overview-identity?context=/azure/ai-foundry/context/context
,Quickstart,/azure/ai-services/computer-vision/quickstarts-sdk/identity-client-library?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/azure/ai-services/computer-vision/quickstarts-sdk/identity-client-library?context=/azure/ai-foundry/context/context
,Face detection concepts,/azure/ai-services/computer-vision/concept-face-detection?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/azure/ai-services/computer-vision/concept-face-detection?context=/azure/ai-foundry/context/context
,Face recognition concepts,/azure/ai-services/computer-vision/concept-face-recognition?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/azure/ai-services/computer-vision/concept-face-recognition?context=/azure/ai-foundry/context/context
,Liveness detection tutorial,/azure/ai-services/computer-vision/tutorials/liveness?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/azure/ai-services/computer-vision/tutorials/liveness?context=/azure/ai-foundry/context/context
,What is Azure AI Foundry Agent Service,../ai-services/agents/overview.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/agents/overview?context=/azure/ai-foundry/context/context
,Quickstart: Create a new agent,../ai-services/agents/quickstart.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/agents/quickstart?context=/azure/ai-foundry/context/context
,Retrieval Augmented Generation (RAG) overview,concepts/retrieval-augmented-generation.md,false,https://learn.microsoft.com/azure/ai-foundry/concepts/retrieval-augmented-generation
,Use Azure AI Search,/azure/search/search-what-is-azure-search?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/azure/search/search-what-is-azure-search?context=/azure/ai-foundry/context/context
,Build and consume vector indexes (Portal),how-to/index-add.md,false,https://learn.microsoft.com/azure/ai-foundry/how-to/index-add
,Build a RAG solution using Azure AI Search,/azure/search/tutorial-rag-build-solution?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/azure/search/tutorial-rag-build-solution?context=/azure/ai-foundry/context/context
,Set up your development environment,how-to/develop/install-cli-sdk.md,false,https://learn.microsoft.com/azure/ai-foundry/how-to/develop/install-cli-sdk
,Work in VS Code (Preview),how-to/develop/get-started-projects-vs-code.md,false,https://learn.microsoft.com/azure/ai-foundry/how-to/develop/get-started-projects-vs-code
,Use the Azure AI Foundry Agent Service in VS Code (Preview),how-to/develop/vs-code-agents.md,false,https://learn.microsoft.com/azure/ai-foundry/how-to/develop/vs-code-agents
,Work with projects in VS Code containers,how-to/develop/vscode.md,false,https://learn.microsoft.com/azure/ai-foundry/how-to/develop/vscode
,Start with an AI template,how-to/develop/ai-template-get-started.md,false,https://learn.microsoft.com/azure/ai-foundry/how-to/develop/ai-template-get-started
,Develop with LangChain,how-to/develop/langchain.md,false,https://learn.microsoft.com/azure/ai-foundry/how-to/develop/langchain
,Develop with LlamaIndex,how-to/develop/llama-index.md,false,https://learn.microsoft.com/azure/ai-foundry/how-to/develop/llama-index
,Develop with Semantic Kernel,how-to/develop/semantic-kernel.md,false,https://learn.microsoft.com/azure/ai-foundry/how-to/develop/semantic-kernel
,Use the chat playground,quickstarts/get-started-playground.md,false,https://learn.microsoft.com/azure/ai-foundry/quickstarts/get-started-playground
,Part 1: Set up project and install SDK,tutorials/copilot-sdk-create-resources.md,false,https://learn.microsoft.com/azure/ai-foundry/tutorials/copilot-sdk-create-resources
,Part 2: Build with data retrieval,tutorials/copilot-sdk-build-rag.md,false,https://learn.microsoft.com/azure/ai-foundry/tutorials/copilot-sdk-build-rag
,Part 3: Evaluate the chat app,tutorials/copilot-sdk-evaluate.md,false,https://learn.microsoft.com/azure/ai-foundry/tutorials/copilot-sdk-evaluate
,Get started with DeepSeek-R1 reasoning model,model-inference/tutorials/get-started-deepseek-r1.md?context=/azure/ai-foundry/context/context,false,https://learn.microsoft.com/azure/ai-foundry/model-inference/tutorials/get-started-deepseek-r1?context=/azure/ai-foundry/context/context
,Deploy an enterprise chat web app,tutorials/deploy-chat-web-app.md,false,https://learn.microsoft.com/azure/ai-foundry/tutorials/deploy-chat-web-app
,Build a RAG solution using Azure AI Search,/azure/search/tutorial-rag-build-solution?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/azure/search/tutorial-rag-build-solution?context=/azure/ai-foundry/context/context
,Observability basics,concepts/observability.md,false,https://learn.microsoft.com/azure/ai-foundry/concepts/observability
,General purpose evaluators,concepts/evaluation-evaluators/general-purpose-evaluators.md,false,https://learn.microsoft.com/azure/ai-foundry/concepts/evaluation-evaluators/general-purpose-evaluators
,Textual similarity evaluators,concepts/evaluation-evaluators/textual-similarity-evaluators.md,false,https://learn.microsoft.com/azure/ai-foundry/concepts/evaluation-evaluators/textual-similarity-evaluators
,Retrieval Augmented Generation (RAG) evaluators,concepts/evaluation-evaluators/rag-evaluators.md,false,https://learn.microsoft.com/azure/ai-foundry/concepts/evaluation-evaluators/rag-evaluators
,Risk and safety evaluators,concepts/evaluation-evaluators/risk-safety-evaluators.md,false,https://learn.microsoft.com/azure/ai-foundry/concepts/evaluation-evaluators/risk-safety-evaluators
,Agent evaluators,concepts/evaluation-evaluators/agent-evaluators.md,false,https://learn.microsoft.com/azure/ai-foundry/concepts/evaluation-evaluators/agent-evaluators
,Azure OpenAI evaluators,concepts/evaluation-evaluators/azure-openai-graders.md,false,https://learn.microsoft.com/azure/ai-foundry/concepts/evaluation-evaluators/azure-openai-graders
,Custom evaluators,concepts/evaluation-evaluators/custom-evaluators.md,false,https://learn.microsoft.com/azure/ai-foundry/concepts/evaluation-evaluators/custom-evaluators
,Manually evaluate prompts in the playground,how-to/evaluate-prompts-playground.md,false,https://learn.microsoft.com/azure/ai-foundry/how-to/evaluate-prompts-playground
,Generate synthetic and simulated data for evaluation,how-to/develop/simulator-interaction-data.md,false,https://learn.microsoft.com/azure/ai-foundry/how-to/develop/simulator-interaction-data
,Run evaluations locally (Azure AI Evaluation SDK),how-to/develop/evaluate-sdk.md,false,https://learn.microsoft.com/azure/ai-foundry/how-to/develop/evaluate-sdk
