Parent Path,Name,Href,OtherTOC,URL
Models > Azure OpenAI in Foundry Models > Quickstarts,Video generation,./openai/video-generation-quickstart.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/video-generation-quickstart
Models > Azure OpenAI in Foundry Models > Quickstarts,Use your data,./openai/use-your-data-quickstart.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/use-your-data-quickstart
Models > Azure OpenAI in Foundry Models > Quickstarts,Realtime API for speech and audio (preview),./openai/realtime-audio-quickstart.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/realtime-audio-quickstart
Models > Azure OpenAI in Foundry Models > Quickstarts,Speech to text with Whisper,./openai/whisper-quickstart.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/whisper-quickstart
Models > Azure OpenAI in Foundry Models > Quickstarts,Text to speech (preview),./openai/text-to-speech-quickstart.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/text-to-speech-quickstart
Models > Azure OpenAI in Foundry Models > Quickstarts,Completions (legacy),./openai/quickstart.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/quickstart
Models > Azure OpenAI in Foundry Models > Audio,Realtime API for speech and audio (preview),./openai/how-to/realtime-audio.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/realtime-audio
Models > Azure OpenAI in Foundry Models > Audio,Realtime API via WebRTC (preview),./openai/how-to/realtime-audio-webrtc.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/realtime-audio-webrtc
Models > Azure OpenAI in Foundry Models > Audio,Realtime API via WebSockets (preview),./openai/how-to/realtime-audio-websockets.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/realtime-audio-websockets
Models > Azure OpenAI in Foundry Models > Batch,Getting started with batch,./openai/how-to/batch.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/batch
Models > Azure OpenAI in Foundry Models > Batch,Batch with Azure Blob Storage,./openai/how-to/batch-blob-storage.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/batch-blob-storage
Models > Azure OpenAI in Foundry Models > Responses & chat completions,Responses API,./openai/how-to/responses.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/responses
Models > Azure OpenAI in Foundry Models > Responses & chat completions,Reasoning models,./openai/how-to/reasoning.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/reasoning
Models > Azure OpenAI in Foundry Models > Responses & chat completions,Chat completions API,./openai/how-to/chatgpt.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/chatgpt
Models > Azure OpenAI in Foundry Models > Responses & chat completions,Computer Use,./openai/how-to/computer-use.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/computer-use
Models > Azure OpenAI in Foundry Models > Responses & chat completions > Model router,Getting started with model router,./openai/how-to/model-router.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/model-router
Models > Azure OpenAI in Foundry Models > Responses & chat completions > Model router,Model router concepts,./openai/concepts/model-router.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/concepts/model-router
Models > Azure OpenAI in Foundry Models > Responses & chat completions,Function calling,./openai/how-to/function-calling.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/function-calling
Models > Azure OpenAI in Foundry Models > Responses & chat completions,Predicted outputs,./openai/how-to/predicted-outputs.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/predicted-outputs
Models > Azure OpenAI in Foundry Models > Responses & chat completions,Prompt caching,./openai/how-to/prompt-caching.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/prompt-caching
Models > Azure OpenAI in Foundry Models > Responses & chat completions,Structured outputs,./openai/how-to/structured-outputs.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/structured-outputs
Models > Azure OpenAI in Foundry Models > Responses & chat completions,Vision-enabled chats,./openai/how-to/gpt-with-vision.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/gpt-with-vision
Models > Azure OpenAI in Foundry Models > Responses & chat completions > Additional features,JSON mode,./openai/how-to/json-mode.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/json-mode
Models > Azure OpenAI in Foundry Models > Responses & chat completions > Additional features,Reproducible output,./openai/how-to/reproducible-output.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/reproducible-output
Models > Azure OpenAI in Foundry Models > Embeddings,Embeddings basics,./openai/how-to/embeddings.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/embeddings
Models > Azure OpenAI in Foundry Models > Embeddings,Getting started with embeddings,./openai/tutorials/embeddings.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/tutorials/embeddings
